name,confidence,x_pred,y_pred,w_pred,h_pred
person,0.994147837,825,457,85,161
person,0.993959367,738,509,60,170
person,0.992415369,341,209,466,295
person,0.990003943,341,209,466,295
person,0.935020387,325,157,409,361
person,0.910105646,798,478,39,167
person,0.854909301,365,278,23,55
backpack,0.719542682,738,509,39,57
pottedplant,0.616343379,26,275,160,371
